Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7
Attribute1,Attribute2,,,Attribute5,Attribute6,Attribute7
vhigh,vhigh,2.0,2.0,small,low,unacc
vhigh,vhigh,2.0,2.0,small,med,unacc
vhigh,vhigh,2.0,2.0,small,high,unacc
vhigh,vhigh,2.0,2.0,med,low,unacc
vhigh,vhigh,2.0,2.0,med,med,unacc
vhigh,vhigh,2.0,2.0,med,high,unacc
vhigh,vhigh,2.0,2.0,big,low,unacc
vhigh,vhigh,2.0,2.0,big,med,unacc
vhigh,vhigh,2.0,2.0,big,high,unacc
vhigh,vhigh,2.0,4.0,small,low,unacc
vhigh,vhigh,2.0,4.0,small,med,unacc
vhigh,vhigh,2.0,4.0,small,high,unacc
vhigh,vhigh,2.0,4.0,med,low,unacc
vhigh,vhigh,2.0,4.0,med,med,unacc
vhigh,vhigh,2.0,4.0,med,high,unacc
vhigh,vhigh,2.0,4.0,big,low,unacc
vhigh,vhigh,2.0,4.0,big,med,unacc
vhigh,vhigh,2.0,4.0,big,high,unacc
vhigh,vhigh,2.0,,small,low,unacc
vhigh,vhigh,2.0,,small,med,unacc
vhigh,vhigh,2.0,,small,high,unacc
vhigh,vhigh,2.0,,med,low,unacc
vhigh,vhigh,2.0,,med,med,unacc
vhigh,vhigh,2.0,,med,high,unacc
vhigh,vhigh,2.0,,big,low,unacc
vhigh,vhigh,2.0,,big,med,unacc
vhigh,vhigh,2.0,,big,high,unacc
vhigh,vhigh,3.0,2.0,small,low,unacc
vhigh,vhigh,3.0,2.0,small,med,unacc
vhigh,vhigh,3.0,2.0,small,high,unacc
vhigh,vhigh,3.0,2.0,med,low,unacc
vhigh,vhigh,3.0,2.0,med,med,unacc
vhigh,vhigh,3.0,2.0,med,high,unacc
vhigh,vhigh,3.0,2.0,big,low,unacc
vhigh,vhigh,3.0,2.0,big,med,unacc
vhigh,vhigh,3.0,2.0,big,high,unacc
vhigh,vhigh,3.0,4.0,small,low,unacc
vhigh,vhigh,3.0,4.0,small,med,unacc
vhigh,vhigh,3.0,4.0,small,high,unacc
vhigh,vhigh,3.0,4.0,med,low,unacc
vhigh,vhigh,3.0,4.0,med,med,unacc
vhigh,vhigh,3.0,4.0,med,high,unacc
vhigh,vhigh,3.0,4.0,big,low,unacc
vhigh,vhigh,3.0,4.0,big,med,unacc
vhigh,vhigh,3.0,4.0,big,high,unacc
vhigh,vhigh,3.0,,small,low,unacc
vhigh,vhigh,3.0,,small,med,unacc
vhigh,vhigh,3.0,,small,high,unacc
vhigh,vhigh,3.0,,med,low,unacc
vhigh,vhigh,3.0,,med,med,unacc
vhigh,vhigh,3.0,,med,high,unacc
vhigh,vhigh,3.0,,big,low,unacc
vhigh,vhigh,3.0,,big,med,unacc
vhigh,vhigh,3.0,,big,high,unacc
vhigh,vhigh,4.0,2.0,small,low,unacc
vhigh,vhigh,4.0,2.0,small,med,unacc
vhigh,vhigh,4.0,2.0,small,high,unacc
vhigh,vhigh,4.0,2.0,med,low,unacc
vhigh,vhigh,4.0,2.0,med,med,unacc
vhigh,vhigh,4.0,2.0,med,high,unacc
vhigh,vhigh,4.0,2.0,big,low,unacc
vhigh,vhigh,4.0,2.0,big,med,unacc
vhigh,vhigh,4.0,2.0,big,high,unacc
vhigh,vhigh,4.0,4.0,small,low,unacc
vhigh,vhigh,4.0,4.0,small,med,unacc
vhigh,vhigh,4.0,4.0,small,high,unacc
vhigh,vhigh,4.0,4.0,med,low,unacc
vhigh,vhigh,4.0,4.0,med,med,unacc
vhigh,vhigh,4.0,4.0,med,high,unacc
vhigh,vhigh,4.0,4.0,big,low,unacc
vhigh,vhigh,4.0,4.0,big,med,unacc
vhigh,vhigh,4.0,4.0,big,high,unacc
vhigh,vhigh,4.0,,small,low,unacc
vhigh,vhigh,4.0,,small,med,unacc
vhigh,vhigh,4.0,,small,high,unacc
vhigh,vhigh,4.0,,med,low,unacc
vhigh,vhigh,4.0,,med,med,unacc
vhigh,vhigh,4.0,,med,high,unacc
vhigh,vhigh,4.0,,big,low,unacc
vhigh,vhigh,4.0,,big,med,unacc
vhigh,vhigh,4.0,,big,high,unacc
vhigh,vhigh,,2.0,small,low,unacc
vhigh,vhigh,,2.0,small,med,unacc
vhigh,vhigh,,2.0,small,high,unacc
vhigh,vhigh,,2.0,med,low,unacc
vhigh,vhigh,,2.0,med,med,unacc
vhigh,vhigh,,2.0,med,high,unacc
vhigh,vhigh,,2.0,big,low,unacc
vhigh,vhigh,,2.0,big,med,unacc
vhigh,vhigh,,2.0,big,high,unacc
vhigh,vhigh,,4.0,small,low,unacc
vhigh,vhigh,,4.0,small,med,unacc
vhigh,vhigh,,4.0,small,high,unacc
vhigh,vhigh,,4.0,med,low,unacc
vhigh,vhigh,,4.0,med,med,unacc
vhigh,vhigh,,4.0,med,high,unacc
vhigh,vhigh,,4.0,big,low,unacc
vhigh,vhigh,,4.0,big,med,unacc
vhigh,vhigh,,4.0,big,high,unacc
vhigh,vhigh,,,small,low,unacc
vhigh,vhigh,,,small,med,unacc
vhigh,vhigh,,,small,high,unacc
vhigh,vhigh,,,med,low,unacc
vhigh,vhigh,,,med,med,unacc
vhigh,vhigh,,,med,high,unacc
vhigh,vhigh,,,big,low,unacc
vhigh,vhigh,,,big,med,unacc
vhigh,vhigh,,,big,high,unacc
vhigh,high,2.0,2.0,small,low,unacc
vhigh,high,2.0,2.0,small,med,unacc
vhigh,high,2.0,2.0,small,high,unacc
vhigh,high,2.0,2.0,med,low,unacc
vhigh,high,2.0,2.0,med,med,unacc
vhigh,high,2.0,2.0,med,high,unacc
vhigh,high,2.0,2.0,big,low,unacc
vhigh,high,2.0,2.0,big,med,unacc
vhigh,high,2.0,2.0,big,high,unacc
vhigh,high,2.0,4.0,small,low,unacc
vhigh,high,2.0,4.0,small,med,unacc
vhigh,high,2.0,4.0,small,high,unacc
vhigh,high,2.0,4.0,med,low,unacc
vhigh,high,2.0,4.0,med,med,unacc
vhigh,high,2.0,4.0,med,high,unacc
vhigh,high,2.0,4.0,big,low,unacc
vhigh,high,2.0,4.0,big,med,unacc
vhigh,high,2.0,4.0,big,high,unacc
vhigh,high,2.0,,small,low,unacc
vhigh,high,2.0,,small,med,unacc
vhigh,high,2.0,,small,high,unacc
vhigh,high,2.0,,med,low,unacc
vhigh,high,2.0,,med,med,unacc
vhigh,high,2.0,,med,high,unacc
vhigh,high,2.0,,big,low,unacc
vhigh,high,2.0,,big,med,unacc
vhigh,high,2.0,,big,high,unacc
vhigh,high,3.0,2.0,small,low,unacc
vhigh,high,3.0,2.0,small,med,unacc
vhigh,high,3.0,2.0,small,high,unacc
vhigh,high,3.0,2.0,med,low,unacc
vhigh,high,3.0,2.0,med,med,unacc
vhigh,high,3.0,2.0,med,high,unacc
vhigh,high,3.0,2.0,big,low,unacc
vhigh,high,3.0,2.0,big,med,unacc
vhigh,high,3.0,2.0,big,high,unacc
vhigh,high,3.0,4.0,small,low,unacc
vhigh,high,3.0,4.0,small,med,unacc
vhigh,high,3.0,4.0,small,high,unacc
vhigh,high,3.0,4.0,med,low,unacc
vhigh,high,3.0,4.0,med,med,unacc
vhigh,high,3.0,4.0,med,high,unacc
vhigh,high,3.0,4.0,big,low,unacc
vhigh,high,3.0,4.0,big,med,unacc
vhigh,high,3.0,4.0,big,high,unacc
vhigh,high,3.0,,small,low,unacc
vhigh,high,3.0,,small,med,unacc
vhigh,high,3.0,,small,high,unacc
vhigh,high,3.0,,med,low,unacc
vhigh,high,3.0,,med,med,unacc
vhigh,high,3.0,,med,high,unacc
vhigh,high,3.0,,big,low,unacc
vhigh,high,3.0,,big,med,unacc
vhigh,high,3.0,,big,high,unacc
vhigh,high,4.0,2.0,small,low,unacc
vhigh,high,4.0,2.0,small,med,unacc
vhigh,high,4.0,2.0,small,high,unacc
vhigh,high,4.0,2.0,med,low,unacc
vhigh,high,4.0,2.0,med,med,unacc
vhigh,high,4.0,2.0,med,high,unacc
vhigh,high,4.0,2.0,big,low,unacc
vhigh,high,4.0,2.0,big,med,unacc
vhigh,high,4.0,2.0,big,high,unacc
vhigh,high,4.0,4.0,small,low,unacc
vhigh,high,4.0,4.0,small,med,unacc
vhigh,high,4.0,4.0,small,high,unacc
vhigh,high,4.0,4.0,med,low,unacc
vhigh,high,4.0,4.0,med,med,unacc
vhigh,high,4.0,4.0,med,high,unacc
vhigh,high,4.0,4.0,big,low,unacc
vhigh,high,4.0,4.0,big,med,unacc
vhigh,high,4.0,4.0,big,high,unacc
vhigh,high,4.0,,small,low,unacc
vhigh,high,4.0,,small,med,unacc
vhigh,high,4.0,,small,high,unacc
vhigh,high,4.0,,med,low,unacc
vhigh,high,4.0,,med,med,unacc
vhigh,high,4.0,,med,high,unacc
vhigh,high,4.0,,big,low,unacc
vhigh,high,4.0,,big,med,unacc
vhigh,high,4.0,,big,high,unacc
vhigh,high,,2.0,small,low,unacc
vhigh,high,,2.0,small,med,unacc
vhigh,high,,2.0,small,high,unacc
vhigh,high,,2.0,med,low,unacc
vhigh,high,,2.0,med,med,unacc
vhigh,high,,2.0,med,high,unacc
vhigh,high,,2.0,big,low,unacc
vhigh,high,,2.0,big,med,unacc
vhigh,high,,2.0,big,high,unacc
vhigh,high,,4.0,small,low,unacc
vhigh,high,,4.0,small,med,unacc
vhigh,high,,4.0,small,high,unacc
vhigh,high,,4.0,med,low,unacc
vhigh,high,,4.0,med,med,unacc
vhigh,high,,4.0,med,high,unacc
vhigh,high,,4.0,big,low,unacc
vhigh,high,,4.0,big,med,unacc
vhigh,high,,4.0,big,high,unacc
vhigh,high,,,small,low,unacc
vhigh,high,,,small,med,unacc
vhigh,high,,,small,high,unacc
vhigh,high,,,med,low,unacc
vhigh,high,,,med,med,unacc
vhigh,high,,,med,high,unacc
vhigh,high,,,big,low,unacc
vhigh,high,,,big,med,unacc
vhigh,high,,,big,high,unacc
vhigh,med,2.0,2.0,small,low,unacc
vhigh,med,2.0,2.0,small,med,unacc
vhigh,med,2.0,2.0,small,high,unacc
vhigh,med,2.0,2.0,med,low,unacc
vhigh,med,2.0,2.0,med,med,unacc
vhigh,med,2.0,2.0,med,high,unacc
vhigh,med,2.0,2.0,big,low,unacc
vhigh,med,2.0,2.0,big,med,unacc
vhigh,med,2.0,2.0,big,high,unacc
vhigh,med,2.0,4.0,small,low,unacc
vhigh,med,2.0,4.0,small,med,unacc
vhigh,med,2.0,4.0,small,high,acc
vhigh,med,2.0,4.0,med,low,unacc
vhigh,med,2.0,4.0,med,med,unacc
vhigh,med,2.0,4.0,med,high,acc
vhigh,med,2.0,4.0,big,low,unacc
vhigh,med,2.0,4.0,big,med,acc
vhigh,med,2.0,4.0,big,high,acc
vhigh,med,2.0,,small,low,unacc
vhigh,med,2.0,,small,med,unacc
vhigh,med,2.0,,small,high,unacc
vhigh,med,2.0,,med,low,unacc
vhigh,med,2.0,,med,med,unacc
vhigh,med,2.0,,med,high,acc
vhigh,med,2.0,,big,low,unacc
vhigh,med,2.0,,big,med,acc
vhigh,med,2.0,,big,high,acc
vhigh,med,3.0,2.0,small,low,unacc
vhigh,med,3.0,2.0,small,med,unacc
vhigh,med,3.0,2.0,small,high,unacc
vhigh,med,3.0,2.0,med,low,unacc
vhigh,med,3.0,2.0,med,med,unacc
vhigh,med,3.0,2.0,med,high,unacc
vhigh,med,3.0,2.0,big,low,unacc
vhigh,med,3.0,2.0,big,med,unacc
vhigh,med,3.0,2.0,big,high,unacc
vhigh,med,3.0,4.0,small,low,unacc
vhigh,med,3.0,4.0,small,med,unacc
vhigh,med,3.0,4.0,small,high,acc
vhigh,med,3.0,4.0,med,low,unacc
vhigh,med,3.0,4.0,med,med,unacc
vhigh,med,3.0,4.0,med,high,acc
vhigh,med,3.0,4.0,big,low,unacc
vhigh,med,3.0,4.0,big,med,acc
vhigh,med,3.0,4.0,big,high,acc
vhigh,med,3.0,,small,low,unacc
vhigh,med,3.0,,small,med,unacc
vhigh,med,3.0,,small,high,acc
vhigh,med,3.0,,med,low,unacc
vhigh,med,3.0,,med,med,acc
vhigh,med,3.0,,med,high,acc
vhigh,med,3.0,,big,low,unacc
vhigh,med,3.0,,big,med,acc
vhigh,med,3.0,,big,high,acc
vhigh,med,4.0,2.0,small,low,unacc
vhigh,med,4.0,2.0,small,med,unacc
vhigh,med,4.0,2.0,small,high,unacc
vhigh,med,4.0,2.0,med,low,unacc
vhigh,med,4.0,2.0,med,med,unacc
vhigh,med,4.0,2.0,med,high,unacc
vhigh,med,4.0,2.0,big,low,unacc
vhigh,med,4.0,2.0,big,med,unacc
vhigh,med,4.0,2.0,big,high,unacc
vhigh,med,4.0,4.0,small,low,unacc
vhigh,med,4.0,4.0,small,med,unacc
vhigh,med,4.0,4.0,small,high,acc
vhigh,med,4.0,4.0,med,low,unacc
vhigh,med,4.0,4.0,med,med,acc
vhigh,med,4.0,4.0,med,high,acc
vhigh,med,4.0,4.0,big,low,unacc
vhigh,med,4.0,4.0,big,med,acc
vhigh,med,4.0,4.0,big,high,acc
vhigh,med,4.0,,small,low,unacc
vhigh,med,4.0,,small,med,unacc
vhigh,med,4.0,,small,high,acc
vhigh,med,4.0,,med,low,unacc
vhigh,med,4.0,,med,med,acc
vhigh,med,4.0,,med,high,acc
vhigh,med,4.0,,big,low,unacc
vhigh,med,4.0,,big,med,acc
vhigh,med,4.0,,big,high,acc
vhigh,med,,2.0,small,low,unacc
vhigh,med,,2.0,small,med,unacc
vhigh,med,,2.0,small,high,unacc
vhigh,med,,2.0,med,low,unacc
vhigh,med,,2.0,med,med,unacc
vhigh,med,,2.0,med,high,unacc
vhigh,med,,2.0,big,low,unacc
vhigh,med,,2.0,big,med,unacc
vhigh,med,,2.0,big,high,unacc
vhigh,med,,4.0,small,low,unacc
vhigh,med,,4.0,small,med,unacc
vhigh,med,,4.0,small,high,acc
vhigh,med,,4.0,med,low,unacc
vhigh,med,,4.0,med,med,acc
vhigh,med,,4.0,med,high,acc
vhigh,med,,4.0,big,low,unacc
vhigh,med,,4.0,big,med,acc
vhigh,med,,4.0,big,high,acc
vhigh,med,,,small,low,unacc
vhigh,med,,,small,med,unacc
vhigh,med,,,small,high,acc
vhigh,med,,,med,low,unacc
vhigh,med,,,med,med,acc
vhigh,med,,,med,high,acc
vhigh,med,,,big,low,unacc
vhigh,med,,,big,med,acc
vhigh,med,,,big,high,acc
vhigh,low,2.0,2.0,small,low,unacc
vhigh,low,2.0,2.0,small,med,unacc
vhigh,low,2.0,2.0,small,high,unacc
vhigh,low,2.0,2.0,med,low,unacc
vhigh,low,2.0,2.0,med,med,unacc
vhigh,low,2.0,2.0,med,high,unacc
vhigh,low,2.0,2.0,big,low,unacc
vhigh,low,2.0,2.0,big,med,unacc
vhigh,low,2.0,2.0,big,high,unacc
vhigh,low,2.0,4.0,small,low,unacc
vhigh,low,2.0,4.0,small,med,unacc
vhigh,low,2.0,4.0,small,high,acc
vhigh,low,2.0,4.0,med,low,unacc
vhigh,low,2.0,4.0,med,med,unacc
vhigh,low,2.0,4.0,med,high,acc
vhigh,low,2.0,4.0,big,low,unacc
vhigh,low,2.0,4.0,big,med,acc
vhigh,low,2.0,4.0,big,high,acc
vhigh,low,2.0,,small,low,unacc
vhigh,low,2.0,,small,med,unacc
vhigh,low,2.0,,small,high,unacc
vhigh,low,2.0,,med,low,unacc
vhigh,low,2.0,,med,med,unacc
vhigh,low,2.0,,med,high,acc
vhigh,low,2.0,,big,low,unacc
vhigh,low,2.0,,big,med,acc
vhigh,low,2.0,,big,high,acc
vhigh,low,3.0,2.0,small,low,unacc
vhigh,low,3.0,2.0,small,med,unacc
vhigh,low,3.0,2.0,small,high,unacc
vhigh,low,3.0,2.0,med,low,unacc
vhigh,low,3.0,2.0,med,med,unacc
vhigh,low,3.0,2.0,med,high,unacc
vhigh,low,3.0,2.0,big,low,unacc
vhigh,low,3.0,2.0,big,med,unacc
vhigh,low,3.0,2.0,big,high,unacc
vhigh,low,3.0,4.0,small,low,unacc
vhigh,low,3.0,4.0,small,med,unacc
vhigh,low,3.0,4.0,small,high,acc
vhigh,low,3.0,4.0,med,low,unacc
vhigh,low,3.0,4.0,med,med,unacc
vhigh,low,3.0,4.0,med,high,acc
vhigh,low,3.0,4.0,big,low,unacc
vhigh,low,3.0,4.0,big,med,acc
vhigh,low,3.0,4.0,big,high,acc
vhigh,low,3.0,,small,low,unacc
vhigh,low,3.0,,small,med,unacc
vhigh,low,3.0,,small,high,acc
vhigh,low,3.0,,med,low,unacc
vhigh,low,3.0,,med,med,acc
vhigh,low,3.0,,med,high,acc
vhigh,low,3.0,,big,low,unacc
vhigh,low,3.0,,big,med,acc
vhigh,low,3.0,,big,high,acc
vhigh,low,4.0,2.0,small,low,unacc
vhigh,low,4.0,2.0,small,med,unacc
vhigh,low,4.0,2.0,small,high,unacc
vhigh,low,4.0,2.0,med,low,unacc
vhigh,low,4.0,2.0,med,med,unacc
vhigh,low,4.0,2.0,med,high,unacc
vhigh,low,4.0,2.0,big,low,unacc
vhigh,low,4.0,2.0,big,med,unacc
vhigh,low,4.0,2.0,big,high,unacc
vhigh,low,4.0,4.0,small,low,unacc
vhigh,low,4.0,4.0,small,med,unacc
vhigh,low,4.0,4.0,small,high,acc
vhigh,low,4.0,4.0,med,low,unacc
vhigh,low,4.0,4.0,med,med,acc
vhigh,low,4.0,4.0,med,high,acc
vhigh,low,4.0,4.0,big,low,unacc
vhigh,low,4.0,4.0,big,med,acc
vhigh,low,4.0,4.0,big,high,acc
vhigh,low,4.0,,small,low,unacc
vhigh,low,4.0,,small,med,unacc
vhigh,low,4.0,,small,high,acc
vhigh,low,4.0,,med,low,unacc
vhigh,low,4.0,,med,med,acc
vhigh,low,4.0,,med,high,acc
vhigh,low,4.0,,big,low,unacc
vhigh,low,4.0,,big,med,acc
vhigh,low,4.0,,big,high,acc
vhigh,low,,2.0,small,low,unacc
vhigh,low,,2.0,small,med,unacc
vhigh,low,,2.0,small,high,unacc
vhigh,low,,2.0,med,low,unacc
vhigh,low,,2.0,med,med,unacc
vhigh,low,,2.0,med,high,unacc
vhigh,low,,2.0,big,low,unacc
vhigh,low,,2.0,big,med,unacc
vhigh,low,,2.0,big,high,unacc
vhigh,low,,4.0,small,low,unacc
vhigh,low,,4.0,small,med,unacc
vhigh,low,,4.0,small,high,acc
vhigh,low,,4.0,med,low,unacc
vhigh,low,,4.0,med,med,acc
vhigh,low,,4.0,med,high,acc
vhigh,low,,4.0,big,low,unacc
vhigh,low,,4.0,big,med,acc
vhigh,low,,4.0,big,high,acc
vhigh,low,,,small,low,unacc
vhigh,low,,,small,med,unacc
vhigh,low,,,small,high,acc
vhigh,low,,,med,low,unacc
vhigh,low,,,med,med,acc
vhigh,low,,,med,high,acc
vhigh,low,,,big,low,unacc
vhigh,low,,,big,med,acc
vhigh,low,,,big,high,acc
high,vhigh,2.0,2.0,small,low,unacc
high,vhigh,2.0,2.0,small,med,unacc
high,vhigh,2.0,2.0,small,high,unacc
high,vhigh,2.0,2.0,med,low,unacc
high,vhigh,2.0,2.0,med,med,unacc
high,vhigh,2.0,2.0,med,high,unacc
high,vhigh,2.0,2.0,big,low,unacc
high,vhigh,2.0,2.0,big,med,unacc
high,vhigh,2.0,2.0,big,high,unacc
high,vhigh,2.0,4.0,small,low,unacc
high,vhigh,2.0,4.0,small,med,unacc
high,vhigh,2.0,4.0,small,high,unacc
high,vhigh,2.0,4.0,med,low,unacc
high,vhigh,2.0,4.0,med,med,unacc
high,vhigh,2.0,4.0,med,high,unacc
high,vhigh,2.0,4.0,big,low,unacc
high,vhigh,2.0,4.0,big,med,unacc
high,vhigh,2.0,4.0,big,high,unacc
high,vhigh,2.0,,small,low,unacc
high,vhigh,2.0,,small,med,unacc
high,vhigh,2.0,,small,high,unacc
high,vhigh,2.0,,med,low,unacc
high,vhigh,2.0,,med,med,unacc
high,vhigh,2.0,,med,high,unacc
high,vhigh,2.0,,big,low,unacc
high,vhigh,2.0,,big,med,unacc
high,vhigh,2.0,,big,high,unacc
high,vhigh,3.0,2.0,small,low,unacc
high,vhigh,3.0,2.0,small,med,unacc
high,vhigh,3.0,2.0,small,high,unacc
high,vhigh,3.0,2.0,med,low,unacc
high,vhigh,3.0,2.0,med,med,unacc
high,vhigh,3.0,2.0,med,high,unacc
high,vhigh,3.0,2.0,big,low,unacc
high,vhigh,3.0,2.0,big,med,unacc
high,vhigh,3.0,2.0,big,high,unacc
high,vhigh,3.0,4.0,small,low,unacc
high,vhigh,3.0,4.0,small,med,unacc
high,vhigh,3.0,4.0,small,high,unacc
high,vhigh,3.0,4.0,med,low,unacc
high,vhigh,3.0,4.0,med,med,unacc
high,vhigh,3.0,4.0,med,high,unacc
high,vhigh,3.0,4.0,big,low,unacc
high,vhigh,3.0,4.0,big,med,unacc
high,vhigh,3.0,4.0,big,high,unacc
high,vhigh,3.0,,small,low,unacc
high,vhigh,3.0,,small,med,unacc
high,vhigh,3.0,,small,high,unacc
high,vhigh,3.0,,med,low,unacc
high,vhigh,3.0,,med,med,unacc
high,vhigh,3.0,,med,high,unacc
high,vhigh,3.0,,big,low,unacc
high,vhigh,3.0,,big,med,unacc
high,vhigh,3.0,,big,high,unacc
high,vhigh,4.0,2.0,small,low,unacc
high,vhigh,4.0,2.0,small,med,unacc
high,vhigh,4.0,2.0,small,high,unacc
high,vhigh,4.0,2.0,med,low,unacc
high,vhigh,4.0,2.0,med,med,unacc
high,vhigh,4.0,2.0,med,high,unacc
high,vhigh,4.0,2.0,big,low,unacc
high,vhigh,4.0,2.0,big,med,unacc
high,vhigh,4.0,2.0,big,high,unacc
high,vhigh,4.0,4.0,small,low,unacc
high,vhigh,4.0,4.0,small,med,unacc
high,vhigh,4.0,4.0,small,high,unacc
high,vhigh,4.0,4.0,med,low,unacc
high,vhigh,4.0,4.0,med,med,unacc
high,vhigh,4.0,4.0,med,high,unacc
high,vhigh,4.0,4.0,big,low,unacc
high,vhigh,4.0,4.0,big,med,unacc
high,vhigh,4.0,4.0,big,high,unacc
high,vhigh,4.0,,small,low,unacc
high,vhigh,4.0,,small,med,unacc
high,vhigh,4.0,,small,high,unacc
high,vhigh,4.0,,med,low,unacc
high,vhigh,4.0,,med,med,unacc
high,vhigh,4.0,,med,high,unacc
high,vhigh,4.0,,big,low,unacc
high,vhigh,4.0,,big,med,unacc
high,vhigh,4.0,,big,high,unacc
high,vhigh,,2.0,small,low,unacc
high,vhigh,,2.0,small,med,unacc
high,vhigh,,2.0,small,high,unacc
high,vhigh,,2.0,med,low,unacc
high,vhigh,,2.0,med,med,unacc
high,vhigh,,2.0,med,high,unacc
high,vhigh,,2.0,big,low,unacc
high,vhigh,,2.0,big,med,unacc
high,vhigh,,2.0,big,high,unacc
high,vhigh,,4.0,small,low,unacc
high,vhigh,,4.0,small,med,unacc
high,vhigh,,4.0,small,high,unacc
high,vhigh,,4.0,med,low,unacc
high,vhigh,,4.0,med,med,unacc
high,vhigh,,4.0,med,high,unacc
high,vhigh,,4.0,big,low,unacc
high,vhigh,,4.0,big,med,unacc
high,vhigh,,4.0,big,high,unacc
high,vhigh,,,small,low,unacc
high,vhigh,,,small,med,unacc
high,vhigh,,,small,high,unacc
high,vhigh,,,med,low,unacc
high,vhigh,,,med,med,unacc
high,vhigh,,,med,high,unacc
high,vhigh,,,big,low,unacc
high,vhigh,,,big,med,unacc
high,vhigh,,,big,high,unacc
high,high,2.0,2.0,small,low,unacc
high,high,2.0,2.0,small,med,unacc
high,high,2.0,2.0,small,high,unacc
high,high,2.0,2.0,med,low,unacc
high,high,2.0,2.0,med,med,unacc
